LOCATION,SHOT_NUMBER,PERIOD,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,FGM,opposing_team,GAME_CLOCK_sec
H,1,2,20.6,4,3.9,2.4,2,3.9,1,PHX,684
H,7,3,11,0,0.8,22.2,3,3.8,0,POR,50
H,2,2,10.9,2,2.2,20.4,2,3.7,0,DAL,369
A,11,3,8.8,2,2.3,2.2,2,0.5,1,WAS,396
H,4,4,18,0,1.2,3,2,1.6,1,DEN,88
A,9,3,17.7,0,1,24.8,3,6.1,0,BKN,451
H,16,4,16.8,9,7,6.3,2,2,0,BKN,86
A,3,1,11.9,0,0.9,0.6,2,1.2,1,LAC,323
H,2,3,3.6,1,1.5,5.9,2,0.3,1,ATL,99
A,3,2,11.6,0,0.8,24.4,3,5.9,0,BKN,24
A,1,1,9.9,0,1.6,2.2,2,1.9,1,ORL,706
A,6,4,5.4,0,0.5,25,3,14.8,0,SAS,335
A,14,3,2.3,1,1.1,22.3,2,2.6,1,MIN,76
A,3,3,13.1,1,2.1,8.6,2,3.6,1,SAS,33
H,3,1,12.1,1,4.9,9.3,2,2.5,0,SAS,261
H,4,3,7,0,3.1,8.5,2,1.9,0,TOR,445
A,1,1,12.8,2,1.9,19.8,2,2.5,0,POR,708
H,1,2,6.8,0,1,1.2,2,2.5,1,NOP,596
A,13,4,18.1,0,0.5,1.4,2,2.1,0,NOP,449
H,4,1,0,2,5.7,4.8,2,0.9,1,DAL,107
A,5,3,10.3,0,0.8,22.7,3,4.7,1,IND,504
A,7,3,0,0,0.8,3.1,2,0.8,1,BKN,15
H,12,3,0,9,9.9,19.8,2,5.4,0,PHX,2
H,7,3,10.7,0,0.7,22.9,3,4.9,0,MIL,587
H,3,4,12.5,0,1.1,17.8,2,4.2,1,IND,688
H,11,3,15.3,3,3.4,10.4,2,5.7,1,ORL,77
A,14,3,15.1,7,6.4,24.8,3,5.7,0,PHI,331
H,10,2,15.8,1,1.8,6.3,2,4.1,0,MIN,221
H,6,4,5.3,0,2.6,7.1,2,1.6,0,IND,558
A,2,1,14,2,2.6,3.5,2,3.6,0,DEN,588
A,1,1,7.6,0,1.6,2.1,2,1.4,1,ATL,454
H,4,1,14.7,0,0.6,1.3,2,1.5,1,CLE,268
A,2,4,12.3,0,1.2,3.7,2,3.1,1,DET,438
A,3,3,22.3,0,2.1,23,3,7,0,GSW,642
A,1,1,12.9,1,1.6,27.2,3,5.4,0,NYK,586
A,2,2,12,1,3.3,6.1,2,2.2,0,NOP,323
H,4,3,16.3,1,1.7,12,2,3.1,1,UTA,299
H,7,4,0,1,2,6.7,2,0.3,0,LAL,148
H,3,1,14.9,1,1.1,15,2,3.8,1,SAS,534
A,6,1,17.8,1,2.1,17.8,2,2.6,0,MIA,185
H,10,4,15,8,7.8,11.9,2,3.5,0,ORL,273
H,4,3,16.1,0,0.7,23.4,3,4.5,0,IND,596
H,2,2,6.3,0,1.2,24.9,3,5.3,0,LAL,631
A,11,2,6.4,0,0.8,18.7,2,6.2,0,BKN,85
A,10,3,15.1,1,1.4,2.6,2,2.3,0,LAC,369
A,4,2,22,0,0.6,2.3,2,6.8,1,DET,573
A,8,2,8.9,0,0.8,23.1,3,4.3,0,MEM,36
H,10,3,16.7,0,1,15.7,2,4.4,0,DAL,603
H,9,4,17.3,5,4.3,16.1,2,4.6,1,SAS,141
A,1,1,16.4,0,0.8,22.7,3,5.5,0,IND,330
A,8,2,16.4,10,7.1,2.6,2,0.7,1,CLE,62
H,11,2,8,1,4.1,9.4,2,1.8,0,DAL,44
A,13,3,6,0,0.1,17,2,6,1,OKC,136
A,3,1,8.2,0,1,25.3,3,6.4,1,SAC,232
A,1,1,13.2,3,3.4,4.8,2,2.4,1,MEM,463
A,6,3,11.7,0,0.6,7.2,2,3.2,0,TOR,458
A,2,1,17,0,1.1,23.6,3,6.5,1,LAC,612
A,16,3,15.6,9,9.6,23.9,3,5.7,0,PHX,487
H,2,1,13.7,0,0.8,24.4,3,7.3,0,OKC,143
A,1,1,3.2,6,6.9,11.3,2,2.7,0,GSW,426
A,4,2,10.8,2,2.4,8.3,2,3.6,0,WAS,422
H,2,1,10.6,0,1.1,19.6,2,9.3,0,SAS,531
H,5,2,4.2,2,4.8,22.1,2,4.3,0,LAC,13
A,3,2,3.2,0,1.1,24.8,3,3.1,0,DEN,641
A,3,1,10.7,0,0.9,26,3,4.7,1,HOU,78
H,1,4,18.2,0,0.8,19.8,2,4.3,0,GSW,477
H,3,1,14.5,1,3.8,4.4,2,2.8,0,GSW,686
H,1,1,0,0,0.9,19.1,2,5.2,0,NOP,341
H,16,4,2.1,16,13.9,4.2,2,1.1,0,BKN,9
H,8,3,3.7,2,7.5,7.9,2,2.6,0,MIL,419
A,1,1,19.4,0,0.7,4.6,2,2.7,1,NOP,432
H,7,4,13.1,0,0.9,23.9,3,4.2,1,BOS,315
A,10,3,13.5,1,1.1,4.2,2,8.3,1,DEN,700
H,16,5,18.8,2,3.1,11.2,2,2.1,0,POR,120
H,8,3,4,8,8.6,1.4,2,2.7,1,NOP,36
A,1,4,10,1,2.8,7.4,2,1.5,1,SAS,575
H,4,2,15.4,4,3.6,8.9,2,4.7,0,UTA,94
A,14,4,15.3,1,2.1,2.7,2,1.3,0,NOP,172
A,17,2,7.8,1,4.6,25.4,3,4.8,0,DAL,80
A,8,3,0,5,3.4,7.4,2,3.8,1,NYK,1
A,16,3,22.1,0,1.1,1.1,2,3.8,1,CHI,27
A,8,4,12.7,14,11.9,27.4,3,4.8,0,MEM,578
A,6,2,15.5,10,8.8,5.2,2,2.5,1,NOP,339
H,15,4,21.1,2,2.5,3.5,2,2.2,1,SAS,216
A,5,2,23.4,0,0.9,4.6,2,2.5,1,BOS,30
H,2,1,11,1,3.1,12.2,2,3.9,0,HOU,324
A,3,2,12.7,3,2.8,21.5,2,3.5,0,SAS,283
A,2,1,8.5,0,0.6,3.4,2,1.6,0,SAC,659
H,1,1,5,0,1.2,25.8,3,6.5,0,ATL,154
H,2,1,19,2,2.9,19.4,2,2.8,0,ATL,517
A,2,1,10.6,0,0.7,24.3,3,5.2,1,IND,454
A,7,3,9.8,0,0.9,23.4,3,9.7,1,WAS,605
A,2,1,12.8,2,3.2,7.6,2,1.7,1,POR,474
A,9,3,0,0,1,20.6,2,6,0,SAS,467
A,8,2,16.4,8,7.3,2.8,2,3.6,0,PHX,237
H,5,4,6.7,0,0.9,24.7,3,14.9,0,OKC,210
H,3,4,2.8,9,7,13.5,2,3.5,0,BOS,224
H,10,4,11.9,0,0.8,24.3,3,4.7,0,PHX,665
A,8,4,5.1,4,2.9,1.9,2,2.2,0,MIN,179
H,3,3,10.3,0,0.8,20.7,2,5.1,0,DEN,706
A,4,1,16.1,4,3.6,2.1,2,1.4,0,MEM,351
A,6,2,15,0,0.8,20.1,2,10.2,0,CHA,508
H,7,2,9.2,0,2.1,18,2,2.5,0,UTA,504
H,17,3,7.2,5,4.3,19.5,2,5.3,0,GSW,36
A,3,2,18.6,0,1.6,25,3,6.5,1,OKC,269
H,6,4,17.9,6,5.5,1.5,2,0.2,1,SAC,562
A,8,3,13,2,3.1,3.6,2,1,1,DEN,467
A,1,4,5.2,5,5.3,12.8,2,3,0,MEM,568
A,3,1,16.7,9,8.2,23.9,3,4.8,0,OKC,522
A,1,1,13.5,2,4,20.8,2,9.7,1,CHA,625
A,11,2,0,0,0.7,22.7,3,4.1,1,OKC,7
H,2,2,2.1,0,0.7,2.1,2,2.7,1,CHA,529
A,11,3,9.8,0,0.8,22.8,3,6.3,0,ORL,291
H,9,2,4.2,0,0.9,27.2,3,4.6,0,IND,85
A,9,4,18.1,0,1.2,24.5,3,2.8,0,LAC,473
H,4,3,4.5,1,3.8,12.7,2,3.3,0,NOP,453
A,7,2,12,0,0.8,25.2,3,5.5,0,MEM,256
H,1,1,7,2,2.4,3,2,2.4,0,GSW,413
H,3,3,11.5,6,5.2,19.7,2,5.3,0,IND,212
A,10,3,17,0,0.6,5.1,2,2.3,1,POR,296
A,10,4,6.3,1,3.3,9.1,2,3.3,1,GSW,35
H,3,2,1.2,0,1,2.5,2,1.4,1,UTA,563
A,4,2,10.4,0,1,23.5,3,7.7,0,DAL,257
A,2,1,24,0,0,2.4,2,1.3,0,WAS,308
A,5,2,0.8,0,1.1,25.9,3,5.7,0,LAL,219
A,8,3,13.2,0,0.5,2.9,2,1.2,0,TOR,354
H,13,4,23,0,1.1,2.5,2,2.1,1,MIA,406
H,3,1,12.4,2,2.5,10.7,2,1.9,0,POR,213
H,1,1,11.5,1,1.6,7.9,2,2.8,1,SAS,510
H,12,4,17.9,0,1.4,26.3,3,6.9,0,BKN,361
H,8,4,8.2,0,0.7,8,2,4.2,0,MIL,253
H,5,3,7.6,1,2.6,24.5,3,6.2,0,WAS,74
A,9,2,6.5,19,17.8,22.3,3,6.6,0,WAS,143
A,2,1,0,0,0.7,23,3,5.9,1,MIN,1
H,8,4,10.7,0,1,24.6,3,4.5,0,PHX,557
H,6,3,11,0,0.8,3.7,2,3.1,1,ORL,480
H,6,1,24,0,0.7,3.6,2,1.4,0,MIN,275
H,5,1,11.1,1,4,3.1,2,5.6,1,BKN,486
A,7,4,5,1,2.5,19.4,2,5.4,0,LAL,121
H,2,1,14.6,1,2.5,9.7,2,3.2,0,SAC,398
H,16,4,13.8,0,1.4,11.2,2,6.2,0,ORL,86
A,5,1,19.8,0,0.8,4.9,2,1.2,1,CLE,425
H,11,2,11,4,5.6,17.6,2,5.3,0,SAC,100
A,16,4,0.9,1,2.8,12.6,2,2.7,1,BOS,58
A,5,4,9.7,1,2.1,7.9,2,2,1,NOP,549
A,3,1,21.3,0,0,3.6,2,1.3,1,TOR,440
A,3,2,10.4,3,6.8,4,2,1.2,1,HOU,461
H,4,1,4,0,0.8,25.2,3,4,0,NYK,81
A,4,2,3.7,4,6.2,12.8,2,4.7,0,GSW,284
H,5,1,11.1,2,3,8.3,2,4.1,0,OKC,337
H,6,1,8.5,0,4.3,16.9,2,3.9,1,OKC,150
H,7,3,18.7,0,1.1,24.7,3,4.3,0,DAL,678
A,2,1,12.5,1,1.3,2.8,2,2.3,1,MEM,613
H,13,3,11.4,0,1.3,19.7,2,3.9,0,PHX,196
A,11,4,18.4,0,-0.1,4.1,2,0.6,0,IND,127
H,1,1,5.9,1,1.7,5.9,2,1.9,0,OKC,607
A,1,1,9.6,0,1,17.4,2,6.3,1,NYK,684
A,6,4,9.9,0,0.8,16.8,2,5,0,PHX,550
A,4,1,15.8,0,0.7,6.3,2,2.8,1,PHX,534
A,11,2,11.6,0,1.7,1.4,2,1.7,1,DET,48
H,10,3,18.5,7,5.8,4.8,2,2.3,0,PHX,67
H,4,1,13,0,0.6,5.4,2,4.4,1,DAL,148
H,2,1,10,0,0.6,3.3,2,6.4,1,ORL,351
A,7,3,0,4,3.7,26.3,3,0.4,1,MEM,0
A,2,1,23.5,0,0.6,3.3,2,2,1,SAC,149
A,2,2,18.1,0,0,5.3,2,2.2,0,MEM,286
A,9,4,12.8,0,0.6,23.2,3,4.1,0,GSW,205
H,24,4,18.7,9,5.2,24,3,5,0,GSW,57
A,9,3,19.2,3,2.8,26.9,3,7.4,0,NYK,590
H,12,4,2.2,0,1.1,0.4,2,3.2,1,POR,158
A,6,3,11.4,14,11.8,16.3,2,3.3,0,BOS,286
H,17,5,12,4,4.9,3.2,2,3.2,1,SAC,248
A,1,1,23.1,0,1.1,24.1,3,5.4,0,SAC,52
A,9,3,1.9,0,0.8,28.1,3,4.3,0,DAL,652
H,4,1,13.2,0,0.8,3.8,2,3.1,1,MIL,542
H,1,1,5.2,0,1,10.4,2,2.9,1,CHI,680
H,8,3,15,0,0.9,24.4,3,7.8,0,PHI,382
H,10,3,13.5,0,0.7,23.4,3,3.2,1,MIA,37
A,10,3,20.8,4,4.2,3,2,0.5,1,SAS,454
H,8,2,16.7,8,6.7,3.6,2,1.5,0,SAS,157
A,3,3,7.9,0,0.5,3.4,2,4.4,0,MIL,704
A,8,3,14.4,10,10.1,1.5,2,3.5,0,MIL,440
A,14,4,14.3,8,8.8,4.2,2,2.1,1,MIL,281
A,13,4,1.4,9,8,1.8,2,2.1,1,WAS,438
H,20,4,9.1,16,15,27.8,3,4.3,1,OKC,585
H,3,2,12.1,0,0.8,24.8,3,4.3,0,MEM,564
A,14,3,0.2,0,1.2,23.5,3,5.7,0,LAC,396
A,7,2,24,1,3.8,0.3,2,1.4,1,SAC,353
H,1,2,10.4,2,2.5,3.6,2,2.2,1,IND,669
A,3,1,12,0,1,20.3,2,6.9,1,BOS,48
H,10,4,14.9,0,0.7,4,2,3.8,1,BOS,235
A,3,1,18,1,1.4,3.9,2,3,0,DEN,285
A,5,3,23.6,0,2.2,2,2,1.4,1,MIL,357
A,12,4,10.9,4,3.2,14.3,2,2.5,1,UTA,611
H,2,2,20.7,3,4.4,3,2,1.2,1,OKC,440
H,7,2,11.9,1,1.6,17.5,2,4.4,0,DEN,305
A,14,4,0,6,4.5,0.2,2,4.2,0,SAC,11
A,13,3,9.4,1,2.2,25.1,3,8.7,0,MIN,188
A,6,1,18.7,0,-0.1,19.4,2,5.1,0,ATL,279
A,1,1,10.2,2,2.6,17.6,2,4,0,NOP,705
H,6,1,15.5,8,6.6,4.1,2,4.6,1,SAS,74
H,8,1,2.5,2,3.3,3.8,2,2,1,UTA,134
A,7,3,7.5,0,0.7,22.1,3,4.1,1,DAL,543
H,10,3,2.1,0,1,25.5,3,4.5,1,NYK,416
H,11,4,6.5,0,0.9,19.3,2,5.7,0,ORL,321
A,1,2,11,0,1.1,25,3,4.3,0,SAS,690
H,19,3,24,0,1,3.9,2,2,1,PHI,254
A,4,2,7.2,2,1.9,6.4,2,2.1,0,HOU,207
H,2,3,9.9,0,0.8,4.6,2,1.3,0,BKN,406
A,2,4,24,0,0,1.4,2,2.3,1,NYK,456
A,2,1,16.2,4,5.1,25.7,3,4.9,1,LAL,200
H,4,2,14.8,0,0.8,0.9,2,2.5,1,LAC,255
H,4,1,14.9,0,1.1,21.8,3,5.6,0,ORL,483
H,4,3,4.8,0,0.2,3.8,2,4,1,BKN,267
A,11,3,14.8,4,3.3,3,2,6.5,1,CLE,191
H,2,1,13.2,2,3.3,16.4,2,6.9,1,LAL,617
A,17,4,19.8,4,4.6,1.8,2,2.7,1,POR,109
H,2,2,0,10,5.8,14.6,2,2.3,0,LAL,417
H,1,1,2.1,3,3.8,1.9,2,2.3,0,NYK,390
H,21,4,4.8,1,4.8,8.8,2,2.6,0,DAL,313
H,6,2,9.1,0,0.4,3.1,2,0.5,0,GSW,384
A,9,4,6.1,0,0.9,19.4,2,8.4,1,ORL,410
H,4,3,14,0,0.8,26.1,3,7.4,0,MIA,454
H,8,4,5.1,0,0.9,24.1,3,7.8,0,BKN,66
A,3,1,6.2,5,3.8,3.5,2,2.7,1,WAS,438
A,6,4,7.5,1,1.1,4.1,2,3.6,1,NOP,473
H,1,1,11.7,1,1.1,24,3,8.3,1,OKC,707
H,6,1,5.3,0,0.9,24.3,3,4.2,1,BOS,10
A,8,3,21.7,0,0,23.8,2,9.5,0,NOP,568
A,3,1,0,5,3.9,5.6,2,1.7,1,MEM,128
A,3,2,14.7,0,0.8,2.9,2,2.9,1,MIN,25
A,4,2,6.8,1,2,18.7,2,7.7,1,GSW,205
A,15,4,13.8,2,2.7,26.9,3,8.1,0,CLE,710
H,4,1,23.5,0,0.8,2.4,2,6.4,1,SAC,205
A,5,4,12.3,0,1.4,24.2,3,6.2,0,GSW,613
H,5,2,15.2,10,11,19.1,2,5.9,1,IND,430
H,10,4,7.7,0,1,19.1,2,5.7,0,ORL,407
A,8,4,12.4,0,0.9,21.2,2,6.2,1,BKN,550
A,4,2,18.2,0,1.4,2.3,2,0.2,0,CLE,318
A,5,2,18.7,5,4.9,14.8,2,2.7,1,ORL,334
A,1,1,12,1,1.1,22.7,3,8.1,1,NYK,266
A,9,2,15.1,6,7,24.1,3,5.7,0,HOU,256
H,10,4,11.9,0,0.9,1.7,2,3.2,1,SAS,623
A,7,4,15.4,9,7.7,4.2,2,2.5,1,NOP,485
H,2,1,11,0,0.7,5.7,2,3.6,0,PHI,581
H,5,2,16.6,8,7.2,15.6,2,2.7,0,CLE,448
A,4,4,11,0,0.8,3.3,2,0.2,0,CLE,265
A,1,2,6.8,1,1.8,3.2,2,2.6,0,CLE,641
H,2,2,11.3,0,1,24.8,3,4.1,1,LAL,597
H,6,3,16.1,0,0.8,24.6,3,7.4,0,CHA,407
A,7,3,17.1,8,6.5,10.8,2,1.9,0,PHX,41
H,9,3,14,0,1.3,1.4,2,0.4,1,NOP,98
H,1,1,18,0,0,22.4,3,4.4,0,ATL,415
A,19,3,13.3,10,10.1,8.7,2,3.1,1,DAL,140
H,1,1,11.6,0,0.8,4.8,2,2.3,1,MIL,531
A,2,1,10,0,0.7,20.1,2,6.5,1,MIA,136
A,2,1,0,0,1.9,25.2,3,6.1,1,ATL,410
H,5,4,1,0,0.8,2.7,2,1.3,0,SAS,539
H,5,2,0,10,8.4,21.5,2,3.7,1,MIA,1
H,10,4,14,0,0.8,25,3,5.7,0,CHI,63
H,2,1,0,0,0.9,26.1,3,2.9,0,GSW,2
A,10,4,10.9,3,3.9,7.6,2,6,0,MIA,403
H,7,2,8.7,0,0.5,23.5,3,5.1,0,ATL,451
A,13,4,1.6,1,1.1,9,2,1.7,0,LAL,84
A,2,1,17.3,1,1.6,7.2,2,2,0,PHI,606
H,9,4,5.5,0,0.9,22.3,3,5.1,0,OKC,524
A,2,3,8.9,0,0.7,13.9,2,0.6,0,NOP,256
A,6,3,19,0,0.7,1.6,2,6.8,1,WAS,380
A,3,2,21.5,0,0,7.9,2,1.3,0,WAS,79
H,1,1,24,2,3.5,19.8,2,5.1,1,DAL,513
H,4,2,5.6,20,18.7,19.8,2,5.8,0,SAC,290
H,21,4,2.9,4,8,5.6,2,2.5,0,DAL,36
A,17,4,19,0,0.9,25.8,3,6.6,1,NOP,45
H,2,1,13.3,0,1.6,7.4,2,3,1,PHI,555
H,11,3,13.4,0,0.7,2,2,1.2,1,NOP,473
H,5,3,6.1,8,8.7,4.6,2,1.8,0,BKN,110
H,4,4,18,0,1,25.8,3,6.2,1,MIL,517
H,5,1,9.7,0,2.7,19.2,2,3,1,ORL,119
A,4,4,7.5,1,2.4,17.5,2,4.2,1,SAC,403
A,5,4,15.3,0,0.7,1.2,2,4.1,0,MIL,383
A,1,4,20.7,0,0.7,5.2,2,1.9,0,NYK,685
H,2,2,16.3,0,1,16.4,2,11.4,0,UTA,557
A,20,4,15.3,12,8.7,4.6,2,1.2,1,CHI,30
A,6,3,11,0,0.8,7.7,2,4.7,0,POR,633
A,23,4,7.7,14,14.9,23,2,4.4,0,MIN,20
H,2,1,17.9,7,6.5,24.3,3,3.8,1,DET,590
H,14,5,6.3,0,0.4,23.2,3,5.9,0,HOU,262
H,8,3,22,0,1,26,3,6.2,1,DET,103
H,5,3,6,1,1.6,10.7,2,3.5,0,PHX,493
A,8,3,16.3,10,8.1,24.5,3,8.6,0,SAC,282
A,4,1,13.2,0,2.6,8.1,2,1.8,1,HOU,147
H,6,3,12.2,0,1,24.5,3,6.4,0,LAC,352
A,2,1,13.6,4,4.4,12.7,2,3.7,1,OKC,556
A,10,4,7.3,4,5.4,8.9,2,2.5,1,BOS,436
H,4,2,14.1,0,0.8,23.3,3,8.5,0,CHA,82
H,1,1,10.1,0,0.9,22.5,2,15.5,0,CHI,593
H,3,1,1.9,0,0.7,2.2,2,4.5,1,NOP,327
A,3,3,13.6,0,0.8,1.5,2,2.2,1,DAL,48
H,7,3,0,3,3.5,30.1,3,4.9,0,BKN,0
H,4,1,4.1,1,1.7,3.7,2,2.2,0,SAC,37
A,2,2,7.2,0,-2.3,2.9,2,1.2,0,DEN,283
H,1,1,12.5,1,1.8,10.5,2,2.1,0,TOR,87
A,10,3,19.1,2,3.3,1.7,2,6.9,1,HOU,263
A,2,1,14.6,0,1,17,2,6.9,0,MIA,680
A,8,3,3.2,0,1.2,20.1,3,3.3,0,TOR,40
A,4,1,12,1,1.6,22.1,3,5.2,0,DET,341
A,8,4,7,0,0.9,14.6,2,5.1,1,BKN,349
A,2,3,5.4,6,4.5,6.6,2,2,0,TOR,61
H,1,2,23.2,0,1.6,6.8,2,2.5,0,ORL,591
H,4,2,20.1,0,1,20.6,2,3.2,0,UTA,493
H,7,2,15,3,3.2,1.9,2,3.1,1,MEM,158
H,4,2,2.4,2,3.4,22.8,2,7.2,1,MIL,456
A,6,4,13.3,0,2,1.3,2,0.4,1,DAL,293
H,2,1,0.8,1,2,20.9,2,3.8,0,DAL,558
H,13,3,13.7,1,1.6,0.2,2,0.4,1,DEN,693
H,5,4,15.6,10,7.6,25.1,3,5,1,NOP,187
A,11,2,3.9,3,4.1,3,2,4.2,1,ORL,99
A,10,4,13.3,0,1.1,0.7,2,3.9,1,GSW,592
A,1,2,19.5,0,0.8,3.8,2,5.6,1,POR,250
A,4,1,15,1,1.1,21.1,2,4.2,1,PHI,463
A,2,1,9.8,0,1,23.8,2,5.8,0,DAL,471
H,22,4,19.5,0,0.5,3.9,2,0.7,1,CLE,42
A,1,1,17.9,0,0.7,20.6,2,6.9,1,UTA,507
H,8,2,13.3,11,9.5,3.4,2,0.8,0,NYK,31
A,4,2,1.4,8,8.7,10.1,2,2.1,0,UTA,674
A,19,4,9.6,0,0.7,25,3,4,0,PHX,379
H,2,1,6.3,0,0.8,17.2,2,7.5,0,HOU,15
H,1,1,13.8,0,1.4,18.2,2,4.9,0,CLE,628
A,24,4,16.3,0,1.9,23.7,3,0.5,0,MIN,51
A,5,1,15,7,7.3,6.3,2,1,1,LAL,161
H,4,2,15.5,0,1,1.4,2,0.8,0,MIL,614
H,8,3,8.6,1,2.6,5.7,2,0.1,0,ATL,305
H,5,2,18.6,0,0.9,27.8,3,4,1,LAC,512
H,7,3,13,2,2.6,1.6,2,1.5,1,WAS,639
A,2,2,3,0,1.3,30.8,3,4.1,0,POR,619
A,15,4,0,8,6,25.4,3,3.8,0,BOS,12
H,4,3,7.8,0,0.8,25,3,4.4,0,ORL,596
H,4,4,5.7,0,2.3,3.3,2,1.7,0,CHI,703
H,6,2,18,0,1.3,3.5,2,1.8,0,ORL,322
A,10,4,5.7,2,4.5,24.2,3,3.4,1,MIA,102
A,10,3,15,0,0.7,24.1,3,4.6,0,DET,243
H,4,2,3.2,4,5.8,17.6,2,4.9,0,DAL,48
H,3,1,5.6,0,0.6,2.1,2,2.2,1,OKC,394
H,7,3,4.7,0,1,26.9,3,2.5,1,MIA,232
H,10,3,0,6,3.8,13.4,2,3.7,0,TOR,388
A,2,1,8.7,0,0.7,19.7,2,3.4,0,MIL,218
A,1,1,7.7,0,0.7,1.4,2,2.1,0,NYK,369
A,7,4,7.5,4,4.2,20.4,2,3.9,0,WAS,574
H,12,3,5.9,0,1,5.6,2,2.6,1,POR,70
H,17,4,0,11,6.9,24.5,3,2.3,1,ORL,6
A,11,4,14.4,11,8.8,9.2,2,1,0,DET,472
A,9,4,11.3,0,1.1,22.9,3,5.4,1,CHA,305
A,1,1,10.3,0,0.9,10.3,2,5.9,0,HOU,183
A,11,4,11.7,2,2.2,25.3,3,5.6,0,PHI,117
H,9,4,0,6,6,8.6,2,1.8,0,MEM,503
A,7,3,19.2,5,3.6,3.1,2,2.2,0,DET,623
H,7,3,11.6,0,1,15.4,2,4.5,0,SAS,127
A,14,3,11.8,1,2,17.8,2,8.8,1,ORL,209
A,10,3,4.4,1,2.4,12.4,2,3.1,1,CHA,335
H,3,2,17.1,0,0.5,24.8,3,7.8,0,ATL,67
H,14,4,9.2,1,2.3,20,2,5.2,1,SAC,235
A,4,3,11.4,2,2.9,0.1,2,0,0,LAC,582
A,13,3,11.5,0,0.1,7.4,2,1.8,1,BOS,457
A,5,3,10.2,1,1.2,19,2,2.4,1,MIL,78
H,1,1,6.9,1,0.7,10,2,3.2,0,ORL,687
A,3,1,2,1,1.6,15.7,2,7.6,1,LAC,353
A,3,2,5.9,0,1,5.2,2,5.1,1,CHA,675
A,1,1,17,10,7,17.9,2,5.3,0,MIN,181
A,1,1,7,1,2.4,20.8,2,4.8,1,MEM,273
A,10,3,6.8,0,0.8,20.8,2,4.6,0,UTA,443
H,1,2,11,0,2.4,16.9,2,5.6,0,IND,656
A,1,2,0,0,0.7,22.3,3,4.2,0,MEM,679
A,3,2,0,1,3.1,33,3,3,0,BKN,0
A,9,4,13.7,3,3.3,11.1,2,1.2,0,DET,415
A,1,1,5.6,0,0.9,19.3,2,4.8,1,BOS,614
H,2,1,9.3,0,0.9,17.6,2,3.5,0,ORL,382
A,7,4,7,0,0.9,19.7,2,3.6,1,LAC,333
H,6,2,19.3,0,0.9,25.9,3,2.7,1,WAS,394
H,2,1,24,0,0.6,4.1,2,0,1,DEN,689
H,7,2,12.3,13,11.7,5.1,2,6,0,GSW,464
H,1,1,14,0,0.6,5.8,2,4.2,0,SAC,585
A,5,2,14.9,0,1,22.8,3,6.1,0,ORL,565
A,17,4,5.6,1,7.2,12.9,2,3.1,0,GSW,238
A,9,3,2.9,0,1,22.4,3,2.5,1,GSW,278
H,14,4,17.7,1,1.9,22.4,2,6.2,0,MIA,245
H,4,3,11.6,0,1.2,24.9,3,6.4,1,IND,655
H,5,4,17.7,0,0.7,18.9,2,4,1,MIL,593
H,3,1,13,0,0.9,19.8,2,6.7,1,SAC,548
H,4,3,14.7,8,7.6,4.8,2,1.4,0,CHA,570
H,7,4,17.8,2,1.9,5.8,2,2.2,1,IND,56
H,2,1,15.6,0,0.8,26,3,4.9,0,SAC,348
H,10,3,8.9,8,8.9,2.6,2,3.7,1,DAL,147
A,5,1,7.1,1,2.1,3,2,1.1,1,LAL,127
A,11,3,14,11,9.8,2.2,2,4.1,1,OKC,251
H,11,3,15.4,10,9.1,12.6,2,3.8,1,MIN,158
H,3,1,10,0,0.9,24.9,3,4,0,PHX,560
H,8,3,6,0,0.5,22.5,3,3.2,1,ATL,453
A,6,2,14.6,0,1.2,25.1,3,14.4,0,MIL,230
A,14,4,20.7,0,1.1,23,3,6.4,0,UTA,299
H,5,2,5.5,2,2.2,5.8,2,0,0,CHI,643
H,2,1,4.4,0,1.6,2.3,2,1.3,1,UTA,67
A,6,2,0,0,0.4,19.3,2,2.7,1,OKC,2
H,10,3,14.2,5,5.3,12.7,2,2.2,0,NYK,348
H,6,4,24,0,0,1.8,2,2.2,0,CHI,597
A,7,4,22,0,0.9,22.4,3,5.7,1,LAL,357
A,3,2,3.6,1,1.4,24.5,3,3.2,0,MIN,687
A,3,1,7.2,1,4.4,11.4,2,4.5,0,NYK,479
H,1,1,9.6,1,4.6,6.2,2,1.8,0,CLE,241
A,15,2,17.3,8,6.6,22.1,2,0.4,1,SAS,33
A,6,4,24,0,0,1.7,2,0.7,0,PHX,293
A,5,4,17.9,5,4.9,25.3,3,5.7,0,CHA,282
H,6,1,11.2,1,6,10.8,2,1.8,1,LAL,174
A,6,4,10.6,0,0.7,24.5,3,6.8,1,DET,616
A,1,2,15.4,0,2.2,16.8,2,5.3,0,PHI,62
H,9,2,3.1,2,2.2,3.2,2,1.2,0,DET,304
H,3,1,1.9,0,2.6,22,2,3.8,0,ATL,371
A,10,2,5.4,1,1.5,8.4,2,4.1,1,ORL,195
H,3,2,19.5,1,1.8,0.9,2,6.4,1,NYK,507
H,6,1,19,0,0.9,25.4,3,3.8,1,CHI,88
H,5,2,10.9,15,12.7,0,2,3,0,DAL,268
A,3,2,24,0,1.3,3.7,2,2.9,1,SAC,502
A,8,2,11.5,2,5.8,2.1,2,2.2,1,NOP,42
A,13,4,16.5,9,7.4,16.1,2,1.8,1,NOP,243
